interview,dim,question,type,excerpt,paraphrase,ts,keywords,maturity,alignment,confidence
ENT-016,1.1.5,PRI1,declaracao,"[participante]: «uma questão da mudança meteorológica que gera aqueles ventos mais fortes, que geram queda de árvores (…) nós não tínhamos esses ventos tão fortes no passado (…) a questão também de sazonalidade de chuvas: períodos que nós tínhamos chuvas mais regulares, agora a gente tem períodos muito chuvosos e outros pouco chuvosos»","Sétima confirmação do par vento–arborização como risco principal, agora do setor privado organizado, somada à irregularidade sazonal da chuva. Converge com a série histórica de ENT-010-ENT-011. SESSÃO SEM TCLE.",00:09:11,vento|arborizacao|sazonalidade|chuva|risco,em_implementacao,convergente,alta
ENT-016,1.1.5,PRI1,declaracao,[participante]: «a questão do ciclo de chuvas vai impactar tanto na captação de água (…) e também para a agricultura da nossa região»,"O setor econômico identifica dois vetores de impacto que o corpus público não trata: abastecimento e produção agrícola regional. Converge com a vulnerabilidade de captação relatada em ENT-005, ENT-009 e ENT-014, e acrescenta a dimensão econômica regional — ausente de todos os instrumentos municipais citados. SESSÃO SEM TCLE.",00:09:11,captacao de agua|agricultura|economia regional|chuva|impacto,em_implementacao,complementar,alta
ENT-016,1.1.6,PRI2,divergencia,"[participante]: «a gente expandiu a área da mata [ciliar] de 30 para 60 m (…) esses 30 não utilizados para nada viraram um problema, porque o município não comprou essa área, ficou na mão do cidadão. Ele não pode fazer nada com essa área, tem obrigação de fazer a limpeza, de tirar espécies invasoras, paga o IPTU sobre essa área — e aí vira aquele contrassenso: a pessoa fica mais com raiva do que com benefício»","ACHADO REGULATÓRIO. A exigência ambiental municipal acima da norma federal — celebrada em ENT-009 — criou passivo privado sem compensação: obrigação de manejo, incidência de IPTU e proibição de uso. Registra que a condição habilitante normativa produziu resistência ao invés de adesão, e que o desenho fiscal do instrumento nunca foi feito. SESSÃO SEM TCLE.",00:10:37,mata ciliar|passivo|IPTU|compensacao|regulacao|contrassenso,regulamentado,divergente,alta
ENT-016,2.3.3,PRI6,oportunidade,"[participante]: «na minha área ambiental eu poderia ter uma isenção de IPTU; você poderia usar aquela área ambiental como um crédito (…) que gere um potencial construtivo num prédio usando aquela área, desde que ela [seja] mantida por X anos. Criar políticas de incentivo — porque aí você não vai precisar do poder fiscalizador do estado (…) você tá cuidando porque você tem um benefício»","ACHADO ESTRUTURANTE. Transferência de potencial construtivo e isenção fiscal condicionadas à conservação de área ambiental privada, com prazo. Converte passivo em ativo, substitui fiscalização por incentivo e não exige desembolso do município. Converge com a outorga onerosa já regulamentada em ENT-015 e com o IPTU Verde empresarial de ENT-012 — três desenhos convergentes de compensação por conservação. SESSÃO SEM TCLE.",00:21:33,potencial construtivo|isencao|conservacao|incentivo|receita|instrumento,inexistente,convergente,alta
ENT-016,2.3.1,PRI6,lacuna,"[entrevistador]: «e o fato do IPTU verde ser só para CPF, não para CNPJ?» / [participante]: «qual a diferença? [A empresa] não tem que ter usina solar, não tem que ter aproveitamento de água de chuva, não tem que ter segregação de lixo? Você tem que incentivar. E tem que tirar a burocracia do IPTU Verde — tem que ser algo simples, fácil, acessível»","SEGUNDA CONVERGÊNCIA SOBRE A LACUNA DO INSTRUMENTO. O IPTU Verde não alcança pessoa jurídica e é burocrático — mesmo diagnóstico de ENT-012, agora do lado do contribuinte empresarial. Duas fontes independentes, de setores distintos, apontam a mesma correção no único instrumento econômico-climático da cidade. SESSÃO SEM TCLE.",00:27:31,IPTU verde|pessoa juridica|burocracia|incentivo|instrumento,regulamentado,convergente,alta
ENT-016,2.4.1,PRI6,percepcao,[entrevistador]: «hoje você acha que tem mais punição do que incentivo?» / [participante]: «Certeza. Não tem incentivo nenhum»,"Avaliação categórica do setor privado organizado: a relação com a agenda ambiental municipal é exclusivamente punitiva. Contrasta com ENT-015, que descreve consciência privada elevada e legislação de compensação já aprovada — as duas leituras convivem se os instrumentos novos ainda não chegaram a quem os percebe. Divergência a resolver com a cronologia das leis. SESSÃO SEM TCLE.",00:24:18,incentivo|punicao|setor privado|instrumento|percepcao,inexistente,divergente,alta
ENT-016,2.4.1,PRI9,declaracao,"[participante]: «burocracia, acho que é a principal barreira: qualquer coisa demora muito. Alvarás, liberações, autorizações (…) eu tenho um empreendimento agora mesmo, tá 8 meses parado esperando autorização de corte de árvore (…) já tem laudo, já tem engenheiro, já tem tudo lá e a coisa não vai»","BARREIRA NÚMERO UM SEGUNDO O SETOR PRIVADO, COM MEDIDA. Oito meses de espera por autorização de supressão arbórea com laudo pronto. Converge com a fila de poda relatada em ENT-007 e com a restrição de equipe do órgão ambiental descrita em ENT-008 — a mesma escassez de capacidade que atrasa o serviço público atrasa o investimento privado, e produz aqui o mesmo efeito perverso: pressão pela via informal. SESSÃO SEM TCLE.",00:35:18,burocracia|licenciamento|prazo|capacidade|investimento privado|barreira,inexistente,convergente,alta
ENT-016,1.2.2,PRI9,percepcao,"[participante]: «eu não sei se é falta de pessoal, se é falta de infraestrutura (…) é falta de investimento tecnológico, se é falta de botar um processo mais prático»","O setor privado percebe a lentidão sem identificar sua causa. ENT-008 e ENT-012 a fornecem: municipalização recente do licenciamento e equipe insuficiente. A modernização do licenciamento, citada em ENT-008 como um dos quatro projetos da pasta, é a resposta direta a esta reclamação. SESSÃO SEM TCLE.",00:35:18,licenciamento|modernizacao|capacidade|processo|tecnologia,inexistente,convergente,alta
ENT-016,1.1.4,PRI2,divergencia,"[participante]: «o município liberou que, após uma aprovação, o próprio cidadão pudesse fazer a retirada da árvore. Isso é algo positivo»","DIVERGÊNCIA DE AVALIAÇÃO SOBRE A MESMA MEDIDA. O setor privado avalia positivamente a delegação da supressão arbórea ao particular; ENT-014 registra a mesma prática como perda do ativo urbano, deferida sem contrapartida de replantio. Não há divergência quanto ao fato, apenas quanto ao juízo — e a diferença desaparece se a autorização passar a exigir replantio, que é a correção que o próprio corpus sugere. SESSÃO SEM TCLE.",00:10:37,supressao|autorizacao|arborizacao|replantio|divergencia,regulamentado,divergente,alta
ENT-016,1.1.4,PRI3,oportunidade,"[participante]: «nós precisamos ter um sistema de acompanhamento das árvores (…) já teve no passado mapeamento das árvores que estão comprometidas para serem retiradas e replantadas (…) e a questão da poda ser mais eficiente, para evitar os danos, [nas que] têm que ser podadas para não cair em cima dos pontos de luz»",Convergência do setor privado com a proposta de inventário e manejo preventivo de ENT-007 e com o cadastro arbóreo em atualização relatado em ENT-015 — e a menção a mapeamento anterior reforça a hipótese de ENT-010-ENT-011 de que o inventário já existe e não circula. SESSÃO SEM TCLE.,00:16:48,inventario arboreo|poda|manejo|rede eletrica|prevencao,em_elaboracao,convergente,alta
