code,axis,axis_name,subcat,subcat_name,name,priority,rank,keywords
1.1.1,1,Política Climática,1.1,Políticas subnacionais de mudança do clima,Estratégia de mitigação com metas claras,Média,2,mitigacao|reducao de emissoes|meta de emissao|baixo carbono|neutralidade|GEE
1.1.2,1,Política Climática,1.1,Políticas subnacionais de mudança do clima,Alinhamento da mitigação com NDC/Plano estadual,Média,2,NDC|Plano de Acao Climatica do Parana|Selo Clima Parana|politica nacional|alinhamento estadual
1.1.3,1,Política Climática,1.1,Políticas subnacionais de mudança do clima,MRV para mitigação,Média,2,MRV|monitoramento de emissoes|verificacao|reporte|inventario
1.1.4,1,Política Climática,1.1,Políticas subnacionais de mudança do clima,Estratégia de adaptação com metas claras,Muito alta,4,adaptacao|Plano Municipal de Adaptacao|meta de adaptacao|resiliencia|Cidade Verde Resiliente
1.1.5,1,Política Climática,1.1,Políticas subnacionais de mudança do clima,Avaliação de riscos e vulnerabilidades climáticas,Muito alta,4,risco climatico|vulnerabilidade|ameaca|alagamento|erosao|evento extremo|mapa de risco|cenario
1.1.6,1,Política Climática,1.1,Políticas subnacionais de mudança do clima,Alinhamento da adaptação com políticas nacionais/estaduais,Alta,3,politica estadual|politica federal|SEDEST|Plano Clima|Lei 14.904|marco legal da adaptacao
1.1.7,1,Política Climática,1.1,Políticas subnacionais de mudança do clima,Monitoramento e avaliação da adaptação,Muito alta,4,indicador de adaptacao|monitoramento|avaliacao|acompanhamento de metas|relatorio de execucao
1.1.8,1,Política Climática,1.1,Políticas subnacionais de mudança do clima,Revisão periódica da política climática,Alta,3,revisao|atualizacao da politica|periodicidade|ciclo de revisao|Plano Diretor revisao
1.2.1,1,Política Climática,1.2,Implementação da ação climática subnacional,Responsabilidades institucionais para implementação climática,Muito alta,4,competencia|atribuicao|responsabilidade institucional|decreto|regimento|quem responde
1.2.2,1,Política Climática,1.2,Implementação da ação climática subnacional,Capacidade institucional para executar ações climáticas,Muito alta,4,capacidade institucional|servidores|equipe tecnica|concurso|capacitacao|falta de pessoal|rotatividade
2.1.1,2,Orçamento e Finanças,2.1,Fontes subnacionais de recursos para ação climática urbana,Fontes públicas municipais para ação climática urbana,Muito alta,4,recurso proprio|tesouro municipal|LOA|verba municipal|orcamento proprio
2.1.2,2,Orçamento e Finanças,2.1,Fontes subnacionais de recursos para ação climática urbana,Fontes estaduais/federais para ação climática urbana,Muito alta,4,recurso estadual|recurso federal|convenio|transferencia|emenda|PAC|FUNDEPAR|Novo PAC
2.1.3,2,Orçamento e Finanças,2.1,Fontes subnacionais de recursos para ação climática urbana,Acesso a fundos climáticos internacionais,Alta,3,fundo climatico internacional|GCF|Fundo Verde|Adaptation Fund|cooperacao internacional|doacao internacional
2.1.4,2,Orçamento e Finanças,2.1,Fontes subnacionais de recursos para ação climática urbana,Capacidade de preparar projetos para financiamento,Muito alta,4,preparacao de projeto|projeto executivo|estudo de viabilidade|anteprojeto|termo de referencia|pipeline|carteira de projetos|maturidade do projeto
2.1.5,2,Orçamento e Finanças,2.1,Fontes subnacionais de recursos para ação climática urbana,Estratégia financeira para adaptação e resiliência,Muito alta,4,estrategia financeira|adaptacao|resiliencia|plano de captacao|roadmap de financiamento
2.1.6,2,Orçamento e Finanças,2.1,Fontes subnacionais de recursos para ação climática urbana,Estratégia financeira para mitigação e baixo carbono,Média,2,estrategia de mitigacao|baixo carbono|eficiencia energetica|descarbonizacao|frota
2.1.7,2,Orçamento e Finanças,2.1,Fontes subnacionais de recursos para ação climática urbana,Financiamento para riscos e desastres,Muito alta,4,desastre|Defesa Civil|contingencia|seguro|fundo de catastrofe|resposta a emergencia
2.2.1,2,Orçamento e Finanças,2.2,Orçamento verde subnacional,Orçamento verde / climate budget tagging,Muito alta,4,orcamento verde|climate budget tagging|marcacao orcamentaria|etiquetagem|orcamento climatico
2.2.2,2,Orçamento e Finanças,2.2,Orçamento verde subnacional,Rastreamento de gastos climáticos,Muito alta,4,rastreamento de gasto|despesa climatica|execucao orcamentaria|QDD|classificacao funcional
2.2.3,2,Orçamento e Finanças,2.2,Orçamento verde subnacional,"Integração entre orçamento, PPA, LDO e ação climática",Muito alta,4,PPA|LDO|LOA|planejamento orcamentario|programa orcamentario|meta fisica
2.3.1,2,Orçamento e Finanças,2.3,Mobilização de receitas subnacionais,Mobilização de receitas próprias para clima,Alta,3,receita propria|IPTU|ITBI|taxa|arrecadacao|IPTU Verde
2.3.2,2,Orçamento e Finanças,2.3,Mobilização de receitas subnacionais,"Uso de fundos municipais, especialmente FUNDEMA",Muito alta,4,FUNDEMA|fundo municipal|conselho deliberativo|edital do fundo|compensacao ambiental
2.3.3,2,Orçamento e Finanças,2.3,Mobilização de receitas subnacionais,Diversificação de receitas ambientais/climáticas,Alta,3,ICMS Ecologico|pagamento por servicos ambientais|PSA|outorga|receita ambiental|diversificacao de receita
2.3.4,2,Orçamento e Finanças,2.3,Mobilização de receitas subnacionais,Sustentabilidade fiscal para investimentos climáticos recorrentes,Alta,3,sustentabilidade fiscal|custeio|manutencao|despesa recorrente|capacidade de pagamento|limite prudencial
2.4.1,2,Orçamento e Finanças,2.4,Mobilização de finanças privadas,Mobilização de investimento privado em infraestrutura climática,Alta,3,investimento privado|capital privado|investidor|mobilizacao privada|contrapartida privada
2.4.2,2,Orçamento e Finanças,2.4,Mobilização de finanças privadas,"PPPs/concessões verdes para resíduos, mobilidade e infraestrutura",Alta,3,PPP|concessao|chamamento publico|PMI|parceria publico-privada|modelagem
2.5.1,2,Orçamento e Finanças,2.5,"Capacidade de crédito, endividamento e acesso a mercado de capitais",Capacidade legal e fiscal de contrair empréstimos,Alta,3,operacao de credito|endividamento|capacidade de endividamento|CAPAG|Lei de Responsabilidade Fiscal|aval da Uniao
2.5.2,2,Orçamento e Finanças,2.5,"Capacidade de crédito, endividamento e acesso a mercado de capitais",Histórico de operações de crédito para infraestrutura climática,Média,2,financiamento contratado|BRDE|BNDES|Caixa|historico de credito|emprestimo
2.5.3,2,Orçamento e Finanças,2.5,"Capacidade de crédito, endividamento e acesso a mercado de capitais",Capacidade de crédito/rating municipal,Alta,3,rating|classificacao de risco|CAPAG|capacidade de pagamento|nota
2.5.4,2,Orçamento e Finanças,2.5,"Capacidade de crédito, endividamento e acesso a mercado de capitais",Acesso a mercado de capitais,Média,2,mercado de capitais|debenture|emissao|CVM|investidor institucional
2.5.5,2,Orçamento e Finanças,2.5,"Capacidade de crédito, endividamento e acesso a mercado de capitais",Potencial de títulos verdes ou instrumentos equivalentes,Média,2,titulo verde|green bond|debenture verde|certificacao|taxonomia
2.6.1,2,Orçamento e Finanças,2.6,Cofinanciamento e finanças inovadoras,Cofinanciamento com bancos públicos e multilaterais,Muito alta,4,banco publico|multilateral|BID|Banco Mundial|CAF|cofinanciamento|BRDE
2.6.2,2,Orçamento e Finanças,2.6,Cofinanciamento e finanças inovadoras,Blended finance para projetos climáticos,Alta,3,blended finance|capital catalitico|garantia|mitigacao de risco|estrutura mista
