n,setor,subsecao,afirmacao,score,interview,ts,dim,dim_nome,maturity,confidence,termos,paraphrase,decisao,ancora_substituta,nota,orfa
1,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios","Estágio de Incorporação: A maioria dos entrevistados concorda que Maringá está em um estágio inicial de incorporação da pauta. Há avanços no discurso e na concepção, mas a execução formal ainda é limitada. A gestão atual, no entanto, tem demonstrado um interesse crescente e focado.",0.238,ENT-015,00:06:00,1.1.1,Estratégia de mitigação com metas claras,em_elaboracao,alta,concepcao|estagio|execucao|inicial|maringa,"Autoavaliação da liderança do Executivo, separando concepção de execução. É a formulação mais precisa do corpus sobre a maturidade de Maringá e reconcilia as leituras divergentes de ENT-008 («muito acima da média») e ENT-004 («estágio inicial»): a cidade está adiantada no que pensou e atrasada no que fez.",,,,
1,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios","Estágio de Incorporação: A maioria dos entrevistados concorda que Maringá está em um estágio inicial de incorporação da pauta. Há avanços no discurso e na concepção, mas a execução formal ainda é limitada. A gestão atual, no entanto, tem demonstrado um interesse crescente e focado.",0.19,ENT-001-ENT-002,00:14:25,1.1.1,Estratégia de mitigação com metas claras,em_elaboracao,alta,atual|incorporacao|inicial|pauta,"A incorporação da pauta climática é descrita como inicial e atribuída à entrada da atual liderança do Executivo, não a um instrumento de política. Não há referência a plano, lei ou programa climático anterior — a agenda existe como orientação de gabinete.",,,,
1,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios","Estágio de Incorporação: A maioria dos entrevistados concorda que Maringá está em um estágio inicial de incorporação da pauta. Há avanços no discurso e na concepção, mas a execução formal ainda é limitada. A gestão atual, no entanto, tem demonstrado um interesse crescente e focado.",0.143,ENT-003,00:26:49,3.2.1,Parcerias com universidades e centros de pesquisa,em_implementacao,alta,formal|gestao|maringa,"DIVERGÊNCIA RELEVANTE. Há fluxo real e produtivo de dados técnico-científicos, inclusive dados meteorológicos primários, porém SEM instrumento formal de parceria. A condição habilitante funciona de fato e não existe de direito: risco de descontinuidade a cada troca de gestão ou de contrato.",,,,
3,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios","Quedas de árvores e danos à fiação: Devido à alta arborização, que é uma vulnerabilidade democrática, afetando todas as classes sociais.",0.167,ENT-004,00:17:20,4.2.1,Participação pública na agenda climática,em_elaboracao,alta,classes|vulnerabilidade,"LACUNA COM RECORTE DISTRIBUTIVO. O único instrumento econômico-climático do município tem alcance informacional desigual, e o próprio servidor identifica as classes vulneráveis como as menos informadas. O incentivo tende a ser capturado por quem já tem acesso à informação e capacidade de investir.",,,,
3,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios","Quedas de árvores e danos à fiação: Devido à alta arborização, que é uma vulnerabilidade democrática, afetando todas as classes sociais.",0.167,ENT-013,00:17:08,4.1.1,Coordenação com Governo do Paraná/SEDEST,em_implementacao,alta,alta|danos,"ACHADO. Existe estrutura permanente de articulação com o Estado por núcleo regional, com acionamento conjunto em calamidade. É a coordenação vertical mais consolidada identificada no corpus — e a única que já opera em base territorial regional. Dimensão «Muito alta».",,,,
3,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios","Quedas de árvores e danos à fiação: Devido à alta arborização, que é uma vulnerabilidade democrática, afetando todas as classes sociais.",0.167,ENT-013,00:18:55,3.2.4,Dados socioeconômicos e territoriais para adaptação inclusiva,em_elaboracao,alta,alta|vulnerabilidade,ACHADO DECISIVO. Está em curso o cruzamento entre áreas de risco e cadastro socioassistencial — exatamente o dado de sensibilidade que a consultoria do plano climático (ENT-010-ENT-011) declarou não conseguir obter e estar substituindo por proxy. O dado está sendo construído em uma secretaria e a equipe que elabora o plano de adaptação não sabe disso. É a demonstração mais concreta do custo da falta de governança de dados. Dimensão «Muito alta».,,,,
4,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios",Alagamentos e Drenagem: A infraestrutura de drenagem existente está sobrecarregada pela impermeabilização do solo e chuvas mais intensas.,0.444,ENT-015,00:24:19,2.4.2,"PPPs/concessões verdes para resíduos, mobilidade e infraestrutura",em_elaboracao,alta,drenagem|impermeabilizacao|infraestrutura|solo,"DESENHO DE INCENTIVO ALINHADO. Flexibilização da exigência de drenagem permitindo solução baseada na natureza que valoriza o empreendimento — o terreno de fundo de vale, historicamente o mais barato, passa a ser o mais valorizado. Alinha interesse privado e redução de risco sem subsídio público, e responde à impermeabilização apontada em ENT-006, ENT-007 e ENT-012.",,,,
4,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios",Alagamentos e Drenagem: A infraestrutura de drenagem existente está sobrecarregada pela impermeabilização do solo e chuvas mais intensas.,0.333,ENT-001-ENT-002,00:17:58,1.1.5,Avaliação de riscos e vulnerabilidades climáticas,em_elaboracao,baixa,alagamentos|drenagem|infraestrutura,"O risco climático é lido por recorrência de ocorrência — vento, chuva, queda de árvore, alagamento — e não por avaliação estruturada. O participante remete explicitamente a avaliação técnica às secretarias de infraestrutura e à Defesa Civil, o que limita a confiança desta evidência sobre a existência do instrumento.",,,,
4,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios",Alagamentos e Drenagem: A infraestrutura de drenagem existente está sobrecarregada pela impermeabilização do solo e chuvas mais intensas.,0.333,ENT-004,00:14:14,1.1.5,Avaliação de riscos e vulnerabilidades climáticas,em_implementacao,alta,chuvas|drenagem|intensas,"Evidência de campo sobre o risco prioritário: a área operacional constata aumento de intensidade e concentração das chuvas e o efeito sobre a rede de drenagem. Converge com a identificação de alagamento e erosão como riscos prioritários em ENT-003, mas aqui por observação operacional, não por estudo.",,,,
5,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios","Erosão: Processos erosivos em fundos de vale e ""boçorocas"" ameaçam a infraestrutura urbana.",0.333,ENT-008,00:22:43,1.1.5,Avaliação de riscos e vulnerabilidades climáticas,em_implementacao,alta,erosao|urbana|vale,"Leitura oficial do perfil de risco: erosão como vetor principal e alagamento pontual e mapeado, sustentados pela ausência de ocupação em fundo de vale e de relevo acidentado. Delimita o risco a partir da estrutura urbana — e será contestado por outras sessões, que registram ocupação irregular de fundo de vale.",,,,
