interview,dim,question,type,excerpt,paraphrase,ts,keywords,maturity,alignment,confidence
ENT-010-ENT-011,1.1.5,SOC1,declaracao,"[participante A]: «o que a gente levantou de variáveis: umidade relativa (…) já tá muito próximo do limiar de 60% (…) A questão de ilhas de calor também chamou bastante atenção. É o número de dias com temperatura média acima de 35º, também numa crescente»","Diagnóstico climático em elaboração identifica umidade relativa no limite de conforto e tendência de aumento de dias acima de 35 °C. Primeira quantificação do risco térmico no corpus a partir de série histórica, e não de percepção.",00:11:56,umidade relativa|ilha de calor|temperatura|serie historica|diagnostico,em_elaboracao,complementar,alta
ENT-010-ENT-011,1.1.5,SOC1,declaracao,[participante A]: «a gente olhou para a precipitação. Um duplo risco hídrico: tanto chuvas muito fortes na época de chuva quanto uma seca mais severa também na época de seca. Então teria os dois extremos»,"ACHADO. O perfil de risco hídrico de Maringá é de dois extremos no mesmo ciclo anual — chuva mais intensa e estiagem mais severa. Confirma tecnicamente a seca apontada em ENT-005 e ENT-009 como risco subestimado, e implica que a adaptação hídrica não pode ser só drenagem.",00:11:56,duplo risco hidrico|precipitacao|seca|extremos|diagnostico,em_elaboracao,convergente,alta
ENT-010-ENT-011,1.1.5,SOC1,declaracao,"[participante A]: «a gente fez também uma análise de eventos extremos. A maior parte que tem ali é trovoada (…) no histórico, primeiro a trovoada bem significativa e ventania abaixo. E esse perfil vai mudando (…) a ventania chega a ficar quase igual, muito próximo do que tem de trovoada»","ACHADO QUANTITATIVO. A série histórica de eventos extremos mostra a ventania convergindo em frequência para a trovoada, que era dominante. É a validação estatística do que quatro sessões relataram por percepção — o vento como risco emergente — e o dado que sustenta priorizar arborização e rede elétrica.",00:11:56,vento|ventania|evento extremo|serie historica|tendencia,em_elaboracao,convergente,alta
ENT-010-ENT-011,3.2.3,SOC1,declaracao,"[participante A]: «os lugares mais vulneráveis são ali os fundos de vale, que daí bate também com a parte de erosão e drenagem. E muitas vezes as áreas mais cheias mesmo da cidade (…) não tem favela propriamente dito, mas algo mais próximo disso, de muito aglomerado, muito impermeável, e acaba alagando muito»","A equipe técnica que produz o diagnóstico localiza a vulnerabilidade em fundos de vale e em áreas densas e impermeáveis. Terceira posição sobre o mesmo objeto: ENT-008 nega ocupação em fundo de vale, ENT-007 relata ocupação irregular, e aqui o fundo de vale aparece como área mais vulnerável. Dimensão «Muito alta».",00:11:56,fundo de vale|vulnerabilidade|adensamento|impermeabilizacao|alagamento,em_elaboracao,divergente,alta
ENT-010-ENT-011,1.1.5,SOC1,declaracao,"[participante B]: «a maioria dos problemas de erosão no município são causados pela ineficiência da drenagem (…) tem uma boca de lobo entupida, às vezes não é nem a ineficiência, foi uma má manutenção, e a água acabou escoando por cima e gerando aquele processo erosivo (…) muitos dos nossos pontos de alagamento estão próximos a pontos erosivos»","ACHADO TÉCNICO TRIANGULADO. A erosão — risco número um segundo ENT-008 — é consequência de falha de manutenção da microdrenagem, e não fenômeno autônomo. Converge com o diagnóstico da direção ambiental («a falta de manutenção ao longo dos anos é o problema») a partir de levantamento independente em campo.",00:14:52,erosao|drenagem|manutencao|boca de lobo|causa,em_implementacao,convergente,alta
ENT-010-ENT-011,1.1.5,SOC1,declaracao,"[participante B]: «lá eles não têm muitos problemas de macrodrenagem, que seria as inundações de fato (…) eles têm uma APP de 60 m, então têm bastante área para esse escoamento (…) Agora de alagamentos, que seria a questão da microdrenagem, sim»","Distinção técnica decisiva: não há inundação de macrodrenagem, e sim alagamento de microdrenagem. Confirma que a faixa ciliar dobrada relatada em ENT-009 tem efeito hidrológico real e protege a cidade — a norma mais exigente produziu resultado. O investimento necessário é de rede local e manutenção, não de grande obra fluvial.",00:14:52,macrodrenagem|microdrenagem|APP|inundacao|alagamento|faixa ciliar,em_implementacao,convergente,alta
ENT-010-ENT-011,3.2.3,SOC1,declaracao,"[participante B]: «inicialmente a gente tinha 38 pontos (…) em que a gente cruzou tanto da Defesa Civil quanto pontos que o município trouxe para nós, mas eles são alocados em n partes do município»","Existe base de 38 pontos críticos de alagamento, construída pelo cruzamento de registros da defesa civil com indicação do município, distribuídos por toda a cidade. É a base de risco mais concreta identificada no corpus, e nasceu do contrato — não de sistema municipal permanente.",00:14:52,pontos criticos|alagamento|defesa civil|base de dados|mapeamento,em_elaboracao,complementar,alta
ENT-010-ENT-011,1.1.5,SOC1,declaracao,"[participante B]: «dentro do parque ali que tem muita árvore, a quantidade de folhas é grande, entopem bueiros e ali se causa um problema de alagamento»",TRIANGULAÇÃO CONFIRMADA. O mecanismo folha–obstrução–alagamento descrito pela direção do órgão ambiental (ENT-008) é confirmado independentemente pela equipe técnica em campo. Deixa de ser hipótese de um gestor e passa a ser achado do diagnóstico.,00:14:52,folhas|obstrucao|bueiro|arborizacao|alagamento|drenagem,em_implementacao,convergente,alta
ENT-010-ENT-011,1.2.2,SOC2,declaracao,"[participante B]: «a prefeitura tem tido um cuidado com a cidade quanto à limpeza dessas bocas de lobo (…) eles contrataram uma empresa privada que faz toda a limpeza para eles. Recentemente eles adquiriram (…) aquele robô que entra nas tubulações e faz a medição das tubulações (…) ele vai até a obstrução, indica que tem uma obstrução, e é feita a limpeza»","ACHADO POSITIVO. Há contrato de limpeza terceirizado e aquisição recente de robô de inspeção de rede — capacidade técnica nova, adquirida e em uso. Confirma de fora o contrato citado em ENT-004 e mostra investimento em diagnóstico de ativo, exatamente onde o corpus registra o maior déficit de manutenção.",00:17:09,robo de inspecao|drenagem|manutencao|contrato|tecnologia,em_implementacao,isolada,alta
ENT-010-ENT-011,3.2.3,SOC3,declaracao,"[participante A]: «a gente tá cruzando exposição, sensibilidade e capacidade adaptativa (…) Tem uma dificuldade nisso em coleta de dados. A gente pelo menos não conseguiu até agora muito mais informação do que o IBGE»","LACUNA CENTRAL DE DADOS. A análise de vulnerabilidade está sendo construída praticamente só com base censitária nacional, por ausência de dado municipal. O município não dispõe de informação própria sobre quem é vulnerável no seu território. Dimensão «Muito alta».",00:19:13,vulnerabilidade|exposicao|sensibilidade|IBGE|dados municipais,inexistente,convergente,alta
ENT-010-ENT-011,3.2.4,SOC3,declaracao,"[participante A]: «o que a gente já identificou é uma população um pouco idosa, tem bastante idoso lá, e isso tende a crescer no que a gente projetou para os próximos anos (…) só que não conseguimos identificar onde estão essas populações»","ACHADO DEMOGRÁFICO. Maringá tem população mais idosa que a média nacional, com tendência de crescimento — o grupo mais sensível a onda de calor. A informação agregada existe e a distribuição territorial não, o que impede desenhar medida de adaptação dirigida.",00:19:13,idosos|envelhecimento|sensibilidade|onda de calor|dados territoriais,em_elaboracao,isolada,alta
ENT-010-ENT-011,3.2.4,SOC3,oportunidade,"[participante A]: «tentar mapear: se eu não vou conseguir identificar onde estão esses idosos, eu vou conseguir identificar quantos deles estão próximos a uma área de saúde ou a uma medida de adaptação»","Solução metodológica adotada diante da ausência de dado: usar a rede de unidades de saúde como proxy de acesso da população sensível. Registra tanto a criatividade técnica quanto o custo da lacuna — a medida de adaptação será desenhada sobre aproximação, não sobre dado.",00:19:13,proxy|unidade de saude|adaptacao|metodologia|dados,em_elaboracao,complementar,media
ENT-010-ENT-011,3.2.4,SOC3,declaracao,"[participante B]: «a gente mapeou que a parte central da cidade era a que tinha maior densidade demográfica e por isso talvez um risco maior de exposição. Só que ao mesmo tempo (…) é a maior renda do município, onde estão os prédios e condomínios de maior luxo. E tem uma grande quantidade de arborização, os parques estão todos naquela região»","ADVERTÊNCIA METODOLÓGICA. Densidade demográfica isolada aponta o centro como área de risco, e o cruzamento com renda e cobertura arbórea inverte a leitura. Alerta direto contra diagnósticos de vulnerabilidade baseados em variável única — e explica por que o setor censitário «bagunçou» a análise preliminar.",00:21:23,densidade demografica|renda|arborizacao|metodologia|vulnerabilidade,em_elaboracao,complementar,alta
ENT-010-ENT-011,3.2.4,SOC3,divergencia,"[participante B]: «a gente conversou bastante com a prefeitura: em Maringá não existem invasões, então eles não têm nenhum número registrado. Segundo eles, o número é zero (…) muito perto de Maringá, grudado, tem [município conurbado], e é ali que estão as invasões»","DIVERGÊNCIA CENTRAL DO CORPUS. A prefeitura informa oficialmente zero ocupações irregulares; ENT-007 relata ocupações em fundo de vale e um movimento organizado desses moradores; ENT-008 nega ocupação em fundo de vale. Se o número oficial for zero por ausência de registro e não por ausência do fenômeno, toda a análise de sensibilidade do plano de adaptação está sendo construída sobre uma lacuna — e a população mais exposta fica fora dela. Divergência preservada para verificação documental.",00:21:23,ocupacao irregular|invasao|registro|vulnerabilidade|divergencia|dados,inexistente,divergente,alta
ENT-010-ENT-011,4.1.4,SOC8,declaracao,"[participante B]: «[no município conurbado] está o maior grau de violência e tudo mais, e é muito próximo de Maringá. Então até nos próximos estudos eu imagino que alguma vulnerabilidade vai vir naquela faixa em que tá cruzando Maringá com [o vizinho]»","A vulnerabilidade socioeconômica se concentra na faixa de conurbação, e o plano em elaboração já antecipa que o risco aparecerá ali. Converge com ENT-007 sobre a ausência de diretriz de planejamento para a conurbação — o risco é metropolitano e o instrumento é municipal.",00:21:23,conurbacao|vulnerabilidade|faixa de fronteira|cooperacao regional|escala,em_elaboracao,convergente,alta
ENT-010-ENT-011,4.1.4,SOC8,lacuna,"[entrevistador]: «Você tem visto alguma parceria (…) para lidar com questões que vão para fora do município?» / [participante B]: «eu imagino que deva haver (…) mas isso foge da nossa alçada, a gente realmente não sabe se existe essa articulação»","A equipe que elabora o plano climático não tem informação sobre articulação com o município conurbado, e o escopo contratado é estritamente municipal. O instrumento nasce sem a escala em que o risco se manifesta.",00:28:01,cooperacao regional|escopo|articulacao|plano|escala,sem_evidencia,complementar,alta
ENT-010-ENT-011,3.1.1,PUB3,declaracao,"[participante A]: «tem muita coisa que eles já têm, mas às vezes ficou obsoleto, ou é difícil de conseguir (…) às vezes nem o [órgão ambiental] tem a informação. Não é o problema de não ter a informação, é que é difícil acessá-la. Às vezes falta uma governança de dados»","ACHADO ESTRUTURANTE, DE FONTE TÉCNICA EXTERNA. O problema não é ausência de dado, é governança: o que existe está desatualizado ou inacessível, inclusive para o próprio órgão contratante. Reformula a dimensão de sistema municipal de dados — a prioridade é catalogar, atualizar e dar acesso, não coletar de novo. Dimensão «Muito alta».",00:23:16,governanca de dados|acesso|obsolescencia|sistema municipal|catalogo,inexistente,convergente,alta
ENT-010-ENT-011,3.1.1,PUB3,declaracao,"[participante B]: «é muito descentralizado. O nosso contratante é o [órgão ambiental], então a gente necessita do caminho dele para chegar até o [instituto de planejamento]. E um detém uma parte da informação e o outro detém outra parte (…) Não somos só nós, são eles mesmos: cada um faz o seu, e muitas vezes não há essa conversa entre eles»","O dado é propriedade de fato de cada secretaria, e o acesso depende de intermediação hierárquica. Converge com ENT-004 («depende de solicitação ativa») e com ENT-003: a interoperabilidade não existe nem entre os órgãos, o que multiplica custo e tempo de qualquer diagnóstico.",00:24:22,descentralizacao|silos|interoperabilidade|dados|secretarias,inexistente,convergente,alta
ENT-010-ENT-011,3.2.2,PUB3,divergencia,"[participante A]: «o inventário arbóreo, que é um [pelo qual] eles ganharam um prêmio, a gente ainda não teve acesso (…) eles oferecem muito mais do que a gente tem acesso publicamente, mas eles não nos deram esses mapas (…) eu acredito que vai ter, porque quando eles virem esse cruzamento e virem que a capacidade adaptativa deles tá baixa, aí eles vão falar: não, mas a gente tem isso»","ACHADO CRÍTICO E DIVERGÊNCIA. Existe inventário arbóreo municipal premiado — e a consultoria contratada para produzir o plano de adaptação não tem acesso a ele. Isso reposiciona a lacuna registrada em ENT-007 (que propõe criar um mapa de danos da arborização): o inventário pode já existir. Ao mesmo tempo, o diagnóstico oficial de capacidade adaptativa será calculado sem ele, e portanto abaixo do real. É o custo da falta de governança de dados, medido em um produto público concreto.",00:26:03,inventario arboreo|acesso|capacidade adaptativa|dados|premio|divergencia,em_implementacao,divergente,alta
ENT-010-ENT-011,1.2.1,PUB8,lacuna,"[participante A]: «a gente propôs ao município estabelecer esse comitê (…) duas ou três sugestões de tipos de comitê, deliberativo ou consultivo, porque isso também é uma premissa para os financiamentos e até para o plano. O ideal é que já tivesse esse comitê para a gente discutir a construção do plano, mas acabou não acontecendo»","LACUNA DE GOVERNANÇA, COM PROPOSTA JÁ NA MESA. Não existe instância intersetorial de coordenação climática, ela foi formalmente proposta pela consultoria e não foi constituída — e sua ausência afeta tanto a elaboração do plano quanto a elegibilidade a financiamento. Dimensão «Muito alta»; é a recomendação com maior grau de convergência entre os dois contratos em curso na cidade.",00:29:11,comite|governanca|coordenacao|elegibilidade|financiamento|arranjo,inexistente,convergente,alta
ENT-010-ENT-011,1.2.1,PUB8,oportunidade,"[participante A]: «esse comitê é o que vai ajudar também a integrar essas informações. Porque é colocar quem tem cada um desses mapas e informações numa sala para ver o que pode melhorar, e aí cada um vai contribuir com a sua informação. É bem isso que falta»","O comitê é proposto como solução simultânea para governança de dados e coordenação horizontal: a mesma instância que decide é a que reúne quem detém a informação. Responde de uma vez às duas lacunas «Muito alta» mais recorrentes do corpus, e com custo institucional baixo.",00:31:22,comite|governanca de dados|integracao|coordenacao|solucao,inexistente,isolada,alta
ENT-010-ENT-011,2.1.4,SOC9,declaracao,"[participante B]: «projetos bem estruturados, com começo, meio e fim, rastreabilidade, transparência. Eu imagino que seja o número um (…) hoje a gente tem essa realidade: tem fundos disponíveis, mas não se tem projetos que se adequam aos fundos»","QUARTA CONFIRMAÇÃO DO ACHADO CENTRAL. Consultoria especializada em financiamento climático identifica a ausência de projetos estruturados como barreira número um, com oferta de fundos disponível. Converge com ENT-004, ENT-007 e ENT-008 — quatro fontes independentes, de quatro setores, apontando o mesmo gargalo. Dimensão «Muito alta».",00:34:47,preparacao de projeto|fundos|estruturacao|rastreabilidade|barreira,inexistente,convergente,alta
ENT-010-ENT-011,2.1.5,PUB6,declaracao,"[participante A]: «a gente tem um levantamento de possibilidades de financiamento (…) umas cinco páginas ali do nosso relatório (…) é uma parte, mas é uma parte muito importante»","O plano contratado inclui levantamento de fontes com extensão limitada, e a própria equipe reconhece a assimetria entre a importância do tema e o espaço que ele ocupa no produto. Delimita com precisão a complementaridade entre os dois contratos e afasta o risco de sobreposição apontado em ENT-003.",00:29:11,fontes de financiamento|escopo|plano|complementaridade,em_elaboracao,complementar,alta
